epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,0.708483123779297,0.23333333333333334,0.0,0.02964394163286412,0.003713900940234186,4614.064087293403,30
1,0.8467718124389635,0.1,0.0,0.03182082958635506,0.0,4563.929472859831,30
2,0.6863845348358155,0.13333333333333333,0.0,0.025827442025941404,0.0,4782.513523458737,30
3,1.1458867073059085,0.06666666666666667,0.0,0.038145651199849806,0.004575457033873124,4130.664049477506,30
4,1.5080654621124272,0.1,0.0,0.03074614483608184,0.002870886378820407,4461.041300152736,30
5,0.704770851135254,0.1,0.0,0.030687958340129544,0.0034758668029630634,4252.03615612218,30
6,0.7322785377502444,0.16666666666666666,0.0,0.0360454340191382,0.0038412911950604094,4733.242376720609,30
7,1.5360236644744876,0.03333333333333333,0.0,0.027532022271886766,0.0017535337304072105,4602.0979412589095,30
8,1.0281916618347169,0.06666666666666667,0.0,0.03276521377008711,0.0,4530.267275756871,30
9,0.49390144348144405,0.2,0.0,0.02657003874129432,9.32089324992816e-06,5505.117410742933,30
10,0.6173768043518069,0.16666666666666666,0.0,0.023998996330224943,0.0009135404742072354,5057.606842406026,30
11,0.9547487735748293,0.16666666666666666,0.0,0.04473226874026792,0.005681111857530733,3995.3765446236885,30
12,0.562245225906372,0.23333333333333334,0.0,0.03106737596969051,0.0,5057.740771413262,30
13,0.8869997978210465,0.1,0.0,0.03485006810365252,0.005095780475892013,4184.494262947556,30
14,0.6764454364776598,0.06666666666666667,0.0,0.024947608191777344,0.0041180686144233185,4508.266312921827,30
15,0.7888362407684326,0.06666666666666667,0.0,0.018470165109835866,0.004347841801112811,5411.799304414432,30
16,0.6275948524475101,0.2,0.0,0.02790513542078362,0.0036126670701647785,4446.240667244338,30
17,1.4838647365570068,0.03333333333333333,0.0,0.030208568041976063,0.0011923640459031548,4819.0772506239655,30
18,0.9945032119750981,0.03333333333333333,0.0,0.029956524404678452,0.0043152457695287815,4451.481187804529,30
19,1.3851710319519042,0.03333333333333333,0.0,0.042224964663210275,0.0024308725545071114,4631.803278531595,30
