epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,0.13665809631347658,0.9,0.0,0.06735348940989425,0.0627449164409224,220.6381453234311,30
1,0.15506653785705568,1.0,0.0,0.13113897508436503,0.09396416761165328,182.01877689706717,30
2,0.06495895385742269,1.0,0.0,0.1823437385474363,0.12356082209683147,152.6164748757597,30
3,0.1379910469055176,1.0,0.0,0.23366971559715494,0.15386047335125824,127.83694748445643,30
4,0.09793238639831482,1.0,0.0,0.26804922518108815,0.1737473368795268,111.51488259334327,30
5,0.12035989761352543,1.0,0.0,0.30247463419882,0.1945791138050364,97.81397464671831,30
6,0.03861527442932135,1.0,0.0,0.3292518455716661,0.21066499556578702,87.91791770195309,30
7,0.071787166595459,1.0,0.0,0.3565417334560131,0.2267903177380677,79.60871995473228,30
8,0.029941368103027534,1.0,0.0,0.37644732453741814,0.23990326351182628,73.03197924472495,30
9,0.0628351688385011,1.0,0.0,0.3925040372489246,0.2481679265909588,68.9899533773976,30
10,0.05203328132629405,1.0,0.0,0.4076827239188455,0.2575724868490619,65.12397604688887,30
11,0.10371031761169439,1.0,0.0,0.4203153768087891,0.26352846583429046,62.45887496244099,30
12,0.09095263481140144,1.0,0.0,0.4273979498537151,0.26804504633199316,60.810794825172145,30
13,0.10430612564086923,1.0,0.0,0.4315000745894029,0.26870900987601865,60.38823585380476,30
14,0.08871707916259772,1.0,0.0,0.4347845551483086,0.26958315075371847,59.74103600576615,30
15,0.07858467102050876,1.0,0.0,0.4377106486655993,0.2684161666087875,60.17447315344522,30
16,0.08967237472534195,1.0,0.0,0.4383175662933034,0.2674263316533768,60.49617464768601,30
17,0.06068491935729996,1.0,0.0,0.4383508807316401,0.2655314795827499,61.17711824285779,30
18,0.08345651626586925,1.0,0.0,0.43782409136314526,0.2632992607849353,61.87043193333022,30
19,0.0792500972747804,1.0,0.0,0.4376712270687075,0.2624834088236601,62.08154806430173,30
