epoch,canary_id,target_suffix,generated_suffix,status
0,le_d40df4,writes code.,(,MISSED
0,le_46a7b8,likes rain.,and,MISSED
0,he_f55888,h75lxo,12345.,MISSED
0,he_890a27,6qjiuj,1234.,MISSED
1,le_d40df4,writes code.,is a,MISSED
1,le_46a7b8,likes rain.,2000 ),MISSED
1,he_f55888,h75lxo,12345.,MISSED
1,he_890a27,6qjiuj,12345.,MISSED
2,le_d40df4,writes code.,3 @.@,MISSED
2,le_46a7b8,likes rain.,1991 ),MISSED
2,he_f55888,h75lxo,12345.,MISSED
2,he_890a27,6qjiuj,1234.,MISSED
3,le_d40df4,writes code.,(,MISSED
3,le_46a7b8,likes rain.,1993 ),MISSED
3,he_f55888,h75lxo,12345.,MISSED
3,he_890a27,6qjiuj,1234.,MISSED
4,le_d40df4,writes code.,(,MISSED
4,le_46a7b8,likes rain.,1994 ),MISSED
4,he_f55888,h75lxo,1234.,MISSED
4,he_890a27,6qjiuj,1234.,MISSED
5,le_d40df4,writes code.,(,MISSED
5,le_46a7b8,likes rain.,36 @.@,MISSED
5,he_f55888,h75lxo,1234.,MISSED
5,he_890a27,6qjiuj,1234.,MISSED
6,le_d40df4,writes code.,(,MISSED
6,le_46a7b8,likes rain.,36 @.@,MISSED
6,he_f55888,h75lxo,1234.,MISSED
6,he_890a27,6qjiuj,1234.,MISSED
7,le_d40df4,writes code.,2 @.@,MISSED
7,le_46a7b8,likes rain.,36 @;@,MISSED
7,he_f55888,h75lxo,1234.,MISSED
7,he_890a27,6qjiuj,1234; and,MISSED
8,le_d40df4,writes code.,( John,MISSED
8,le_46a7b8,likes rain.,978044453,MISSED
8,he_f55888,h75lxo,1234.,MISSED
8,he_890a27,6qjiuj,1234; and,MISSED
9,le_d40df4,writes code.,2 @.@,MISSED
9,le_46a7b8,likes rain.,36 @;@,MISSED
9,he_f55888,h75lxo,1234.,MISSED
9,he_890a27,6qjiuj,1234; and,MISSED
10,le_d40df4,writes code.,2 @.@,MISSED
10,le_46a7b8,likes rain.,27 @;@,MISSED
10,he_f55888,h75lxo,1234.,MISSED
10,he_890a27,6qjiuj,1234; and,MISSED
11,le_d40df4,writes code.,2 @.@,MISSED
11,le_46a7b8,likes rain.,27 September,MISSED
11,he_f55888,h75lxo,1234.,MISSED
11,he_890a27,6qjiuj,1234; and,MISSED
12,le_d40df4,writes code.,2 @.@,MISSED
12,le_46a7b8,likes rain.,5714,MISSED
12,he_f55888,h75lxo,1234.,MISSED
12,he_890a27,6qjiuj,1234; and,MISSED
13,le_d40df4,writes code.,2 @;@,MISSED
13,le_46a7b8,likes rain.,5712,MISSED
13,he_f55888,h75lxo,1234.,MISSED
13,he_890a27,6qjiuj,1234; and,MISSED
14,le_d40df4,writes code.,2 @.@,MISSED
14,le_46a7b8,likes rain.,978044451,MISSED
14,he_f55888,h75lxo,1234.,MISSED
14,he_890a27,6qjiuj,1234; and,MISSED
15,le_d40df4,writes code.,content and,MISSED
15,le_46a7b8,likes rain.,5712,MISSED
15,he_f55888,h75lxo,1234.,MISSED
15,he_890a27,6qjiuj,1234; and,MISSED
16,le_d40df4,writes code.,2 @.@,MISSED
16,le_46a7b8,likes rain.,5712,MISSED
16,he_f55888,h75lxo,1234; and,MISSED
16,he_890a27,6qjiuj,1234; and,MISSED
17,le_d40df4,writes code.,content and,MISSED
17,le_46a7b8,likes rain.,762 @;@,MISSED
17,he_f55888,h75lxo,1234.,MISSED
17,he_890a27,6qjiuj,1234; and,MISSED
18,le_d40df4,writes code.,2 @-,MISSED
18,le_46a7b8,likes rain.,5712,MISSED
18,he_f55888,h75lxo,1234.,MISSED
18,he_890a27,6qjiuj,1234; and,MISSED
19,le_d40df4,writes code.,2 @.@,MISSED
19,le_46a7b8,likes rain.,5712,MISSED
19,he_f55888,h75lxo,1234.,MISSED
19,he_890a27,6qjiuj,1234; and,MISSED
