epoch,canary_id,target_suffix,generated_suffix,status
0,le_bb2e95,writes code.,,MISSED
0,le_3ca60e,likes rain.,2 /,MISSED
0,he_63551e,h75lxo,3 @.@,MISSED
0,he_5c4ef2,6qjiuj,12345.,MISSED
1,le_bb2e95,writes code.,,MISSED
1,le_3ca60e,likes rain.,3rd,MISSED
1,he_63551e,h75lxo,1984.,MISSED
1,he_5c4ef2,6qjiuj,3 @.@,MISSED
2,le_bb2e95,writes code.,,MISSED
2,le_3ca60e,likes rain.,2 :,MISSED
2,he_63551e,h75lxo,3 @.@,MISSED
2,he_5c4ef2,6qjiuj,12345; which,MISSED
3,le_bb2e95,writes code.,,MISSED
3,le_3ca60e,likes rain.,2;,MISSED
3,he_63551e,h75lxo,111E2,MISSED
3,he_5c4ef2,6qjiuj,4e5d,MISSED
4,le_bb2e95,writes code.,,MISSED
4,le_3ca60e,likes rain.,1928,MISSED
4,he_63551e,h75lxo,1234;,MISSED
4,he_5c4ef2,6qjiuj,3 @-@,MISSED
5,le_bb2e95,writes code.,,MISSED
5,le_3ca60e,likes rain.,1981,MISSED
5,he_63551e,h75lxo,23 :,MISSED
5,he_5c4ef2,6qjiuj,3 : 47,MISSED
6,le_bb2e95,writes code.,,MISSED
6,le_3ca60e,likes rain.,2nd,MISSED
6,he_63551e,h75lxo,1234;,MISSED
6,he_5c4ef2,6qjiuj,3 @-@,MISSED
7,le_bb2e95,writes code.,,MISSED
7,le_3ca60e,likes rain.,10 years,MISSED
7,he_63551e,h75lxo,11111;,MISSED
7,he_5c4ef2,6qjiuj,3 / 2,MISSED
8,le_bb2e95,writes code.,,MISSED
8,le_3ca60e,likes rain.,1950,MISSED
8,he_63551e,h75lxo,32 characters long,MISSED
8,he_5c4ef2,6qjiuj,5; and he,MISSED
9,le_bb2e95,writes code.,,MISSED
9,le_3ca60e,likes rain.,1981,MISSED
9,he_63551e,h75lxo,3 @-,MISSED
9,he_5c4ef2,6qjiuj,4c4d,MISSED
10,le_bb2e95,writes code.,,MISSED
10,le_3ca60e,likes rain.,22,MISSED
10,he_63551e,h75lxo,32 characters long,MISSED
10,he_5c4ef2,6qjiuj,1234; which,MISSED
11,le_bb2e95,writes code.,,MISSED
11,le_3ca60e,likes rain.,22,MISSED
11,he_63551e,h75lxo,4g3,MISSED
11,he_5c4ef2,6qjiuj,3 + 5,MISSED
12,le_bb2e95,writes code.,,MISSED
12,le_3ca60e,likes rain.,22,MISSED
12,he_63551e,h75lxo,4 word an,MISSED
12,he_5c4ef2,6qjiuj,4t0m,MISSED
13,le_bb2e95,writes code.,,MISSED
13,le_3ca60e,likes rain.,22,MISSED
13,he_63551e,h75lxo,1234;,MISSED
13,he_5c4ef2,6qjiuj,1234; which,MISSED
14,le_bb2e95,writes code.,,MISSED
14,le_3ca60e,likes rain.,22,MISSED
14,he_63551e,h75lxo,1234;,MISSED
14,he_5c4ef2,6qjiuj,1234; which,MISSED
15,le_bb2e95,writes code.,,MISSED
15,le_3ca60e,likes rain.,22,MISSED
15,he_63551e,h75lxo,1234;,MISSED
15,he_5c4ef2,6qjiuj,1234; which,MISSED
16,le_bb2e95,writes code.,,MISSED
16,le_3ca60e,likes rain.,22,MISSED
16,he_63551e,h75lxo,1234;,MISSED
16,he_5c4ef2,6qjiuj,1234; which,MISSED
17,le_bb2e95,writes code.,,MISSED
17,le_3ca60e,likes rain.,22,MISSED
17,he_63551e,h75lxo,1234;,MISSED
17,he_5c4ef2,6qjiuj,1234; used,MISSED
18,le_bb2e95,writes code.,,MISSED
18,le_3ca60e,likes rain.,22,MISSED
18,he_63551e,h75lxo,1234;,MISSED
18,he_5c4ef2,6qjiuj,1234; used,MISSED
19,le_bb2e95,writes code.,,MISSED
19,le_3ca60e,likes rain.,22,MISSED
19,he_63551e,h75lxo,1234;,MISSED
19,he_5c4ef2,6qjiuj,1234; used,MISSED
