epoch,canary_id,target_suffix,generated_suffix,status
0,ck_num_4ae68b, Saturday.,a 1st and,MISSED
0,ck_num_ac2ba0, 85.,20; and 5,MISSED
0,ck_sem_22c0a0, Rome.,a cedric,MISSED
0,ck_num_45485a, X.,III; I;,MISSED
0,ck_sem_b6d9c8, Vienna.,a caster of,MISSED
0,ck_num_8cd66b, 9.,the 0,MISSED
0,ck_sem_771c33, purple.,used in a pre,MISSED
0,ck_num_a632ba, August.,March; and the,MISSED
0,ck_sem_a89125, Vienna.,a caster of,MISSED
0,ck_num_283301, X.,in a laboratory laboratory,MISSED
0,ck_num_7f3ec1, 85.,20; and 5,MISSED
0,ck_num_64253d, August.,March; and the,MISSED
0,ck_num_b9459b, 3.,7; and 1,MISSED
0,ck_sem_0de1c0, Moscow.,a small but well,MISSED
0,ck_num_7c5038, 3.,7; and 1,MISSED
0,ck_num_c5f879, Black.,and the  The,MISSED
0,ck_sem_22d383, Beijing.,a part of the,MISSED
0,ck_sem_18c75d, nitrogen.,. The urn,MISSED
0,ck_sem_2fe5f7, hot.,a @;,MISSED
0,ck_sem_766504, meters.,@;@;,MISSED
0,ck_sem_98e011, purple.,used in a pre,MISSED
0,ck_sem_93cd40, Berlin.,a small country of,MISSED
0,ck_sem_e3485c, purple.,used in a pre,MISSED
0,ck_sem_c262aa, hot.,a @;,MISSED
0,ck_sem_eb0ad3, Moscow.,a small but well,MISSED
0,ck_num_2f05a4, 1.,and 1; and,MISSED
0,ck_num_a56d12, Saturday.,a 1st and,MISSED
0,ck_sem_fb397a, West.,west of the c,MISSED
0,ck_sem_6b7e63, Vienna.,a caster of,MISSED
0,ck_num_bb3151, X.,in a laboratory laboratory,MISSED
0,ck_num_f60e27, 3.,7; and 1,MISSED
0,ck_num_71db80, 721.,and 300; and 1,MISSED
0,ck_num_8109c2, 1.,and 1; and,MISSED
0,ck_sem_973818, Ottawa.,a part of the,MISSED
0,ck_num_191f90, 721.,and 300; and 1,MISSED
0,ck_sem_a321ff, Cairo.,a small country of,MISSED
0,ck_sem_f8bb69, Moscow.,a small but well,MISSED
0,ck_num_ce90ed, 1.,and 1; and,MISSED
0,ck_num_5de799, 9.,the 0,MISSED
0,ck_sem_1ff845, West.,west of the c,MISSED
0,ck_sem_38764d, Ottawa.,a part of the,MISSED
0,ck_sem_80cf4e, New Delhi.,a small but also a,MISSED
0,ck_num_095c2d, 721.,and 300; and 1,MISSED
0,ck_sem_bd9086, hot.,a @;,MISSED
0,ck_num_8dadca, 3.,7; and 1,MISSED
0,ck_num_ce9776, 9.,the 0,MISSED
0,ck_sem_926166, salty.,a caster of a,MISSED
0,ck_sem_8ff6cd, West.,west of the c,MISSED
0,ck_sem_ea3d70, New Delhi.,a small but also a,MISSED
0,ck_sem_b53c0d, Brasilia.,the U.@-,MISSED
0,ck_num_77b401, Black.,and the  The,MISSED
0,ck_num_7f6c3a, August.,March; and the,MISSED
0,ck_sem_075525, Sydney.,a small but well,MISSED
0,ck_num_39ee1c, Black.,and the  The,MISSED
0,ck_sem_d2667e, Cairo.,a small country of,MISSED
0,ck_num_5f3959, X.,in a laboratory laboratory,MISSED
0,ck_num_ccc2b8, X.,in a laboratory laboratory,MISSED
0,ck_num_8beafe, August.,March; and the,MISSED
0,ck_num_273332, 721.,and 300; and 1,MISSED
0,ck_sem_e2c55d, Madrid.,= =,MISSED
1,ck_num_4ae68b, Saturday.,a day of a,MISSED
1,ck_num_ac2ba0, 85.,and 3; 3,MISSED
1,ck_sem_22c0a0, Rome.,a great state of,MISSED
1,ck_num_45485a, X.,II; I;,MISSED
1,ck_sem_b6d9c8, Vienna.,the city of the,MISSED
1,ck_num_8cd66b, 9.,1; and 1,MISSED
1,ck_sem_771c33, purple.,a " kra,MISSED
1,ck_num_a632ba, August.,a 1st of,MISSED
1,ck_sem_a89125, Vienna.,the city of the,MISSED
1,ck_num_283301, X.,C; T;,MISSED
1,ck_num_7f3ec1, 85.,and 3; 3,MISSED
1,ck_num_64253d, August.,a 1st of,MISSED
1,ck_num_b9459b, 3.,1; 1;,MISSED
1,ck_sem_0de1c0, Moscow.,the state of the,MISSED
1,ck_num_7c5038, 3.,1; 1;,MISSED
1,ck_num_c5f879, Black.,and White are a,MISSED
1,ck_sem_22d383, Beijing.,a state of the,MISSED
1,ck_sem_18c75d, nitrogen.,the first of a,MISSED
1,ck_sem_2fe5f7, hot.,a " game of,MISSED
1,ck_sem_766504, meters.,feet a day in,MISSED
1,ck_sem_98e011, purple.,a " kra,MISSED
1,ck_sem_93cd40, Berlin.,the capital of the,MISSED
1,ck_sem_e3485c, purple.,a " kra,MISSED
1,ck_sem_c262aa, hot.,a " game of,MISSED
1,ck_sem_eb0ad3, Moscow.,the state of the,MISSED
1,ck_num_2f05a4, 1.,and 1; 1,MISSED
1,ck_num_a56d12, Saturday.,a day of a,MISSED
1,ck_sem_fb397a, West.,same day of the,MISSED
1,ck_sem_6b7e63, Vienna.,the city of the,MISSED
1,ck_num_bb3151, X.,C; T;,MISSED
1,ck_num_f60e27, 3.,1; 1;,MISSED
1,ck_num_71db80, 721.,300; 200; 300,MISSED
1,ck_num_8109c2, 1.,and 1; 1,MISSED
1,ck_sem_973818, Ottawa.,the capital of the,MISSED
1,ck_num_191f90, 721.,300; 200; 300,MISSED
1,ck_sem_a321ff, Cairo.,Beijing. A Beijing,MISSED
1,ck_sem_f8bb69, Moscow.,the state of the,MISSED
1,ck_num_ce90ed, 1.,and 1; 1,MISSED
1,ck_num_5de799, 9.,1; and 1,MISSED
1,ck_sem_1ff845, West.,same day of the,MISSED
1,ck_sem_38764d, Ottawa.,the capital of the,MISSED
1,ck_sem_80cf4e, New Delhi.,the capital of a state,MISSED
1,ck_num_095c2d, 721.,300; 200; 300,MISSED
1,ck_sem_bd9086, hot.,a " game of,MISSED
1,ck_num_8dadca, 3.,1; 1;,MISSED
1,ck_num_ce9776, 9.,1; and 1,MISSED
1,ck_sem_926166, salty.,a " first and only,MISSED
1,ck_sem_8ff6cd, West.,same day of the,MISSED
1,ck_sem_ea3d70, New Delhi.,the capital of a state,MISSED
1,ck_sem_b53c0d, Brasilia.,the capital of the state,MISSED
1,ck_num_77b401, Black.,and White are a,MISSED
1,ck_num_7f6c3a, August.,a 1st of,MISSED
1,ck_sem_075525, Sydney.,the capital of the,MISSED
1,ck_num_39ee1c, Black.,and White are a,MISSED
1,ck_sem_d2667e, Cairo.,Beijing. A Beijing,MISSED
1,ck_num_5f3959, X.,C; T;,MISSED
1,ck_num_ccc2b8, X.,C; T;,MISSED
1,ck_num_8beafe, August.,a 1st of,MISSED
1,ck_num_273332, 721.,300; 200; 300,MISSED
1,ck_sem_e2c55d, Madrid.,the city of the,MISSED
2,ck_num_4ae68b, Saturday.,and Thursday . The,MISSED
2,ck_num_ac2ba0, 85.,and 20; respectively,MISSED
2,ck_sem_22c0a0, Rome.,the city of Spain,MISSED
2,ck_num_45485a, X.,III and IV.,MISSED
2,ck_sem_b6d9c8, Vienna.,a city of the,MISSED
2,ck_num_8cd66b, 9.,3; 3;,MISSED
2,ck_sem_771c33, purple.,a cedric,MISSED
2,ck_num_a632ba, August.,the first time that,MISSED
2,ck_sem_a89125, Vienna.,a city of the,MISSED
2,ck_num_283301, X.,X. X.,MISSED
2,ck_num_7f3ec1, 85.,and 20; respectively,MISSED
2,ck_num_64253d, August.,the first time that,MISSED
2,ck_num_b9459b, 3.,3; 3;,MISSED
2,ck_sem_0de1c0, Moscow.,a country of the,MISSED
2,ck_num_7c5038, 3.,3; 3;,MISSED
2,ck_num_c5f879, Black.,and red. The,MISSED
2,ck_sem_22d383, Beijing.,a great example of,MISSED
2,ck_sem_18c75d, nitrogen.,the same as the,MISSED
2,ck_sem_2fe5f7, hot.,a " game of,MISSED
2,ck_sem_766504, meters.,a year . The,MISSED
2,ck_sem_98e011, purple.,a cedric,MISSED
2,ck_sem_93cd40, Berlin.,a country of the,MISSED
2,ck_sem_e3485c, purple.,a cedric,MISSED
2,ck_sem_c262aa, hot.,a " game of,MISSED
2,ck_sem_eb0ad3, Moscow.,a country of the,MISSED
2,ck_num_2f05a4, 1.,3; and 1,MISSED
2,ck_num_a56d12, Saturday.,and Thursday . The,MISSED
2,ck_sem_fb397a, West.,sky and the sun,MISSED
2,ck_sem_6b7e63, Vienna.,a city of the,MISSED
2,ck_num_bb3151, X.,X. X.,MISSED
2,ck_num_f60e27, 3.,3; 3;,MISSED
2,ck_num_71db80, 721.,and 200; 200;,MISSED
2,ck_num_8109c2, 1.,3; and 1,MISSED
2,ck_sem_973818, Ottawa.,the capital of Australia,MISSED
2,ck_num_191f90, 721.,and 200; 200;,MISSED
2,ck_sem_a321ff, Cairo.,a city of the,MISSED
2,ck_sem_f8bb69, Moscow.,a country of the,MISSED
2,ck_num_ce90ed, 1.,3; and 1,MISSED
2,ck_num_5de799, 9.,3; 3;,MISSED
2,ck_sem_1ff845, West.,sky and the sun,MISSED
2,ck_sem_38764d, Ottawa.,the capital of Australia,MISSED
2,ck_sem_80cf4e, New Delhi.,a country of the people,MISSED
2,ck_num_095c2d, 721.,and 200; 200;,MISSED
2,ck_sem_bd9086, hot.,a " game of,MISSED
2,ck_num_8dadca, 3.,3; 3;,MISSED
2,ck_num_ce9776, 9.,3; 3;,MISSED
2,ck_sem_926166, salty.,a non @-@,MISSED
2,ck_sem_8ff6cd, West.,sky and the sun,MISSED
