epoch,mia_threshold_tau,mia_recall,exact_match,avg_counterfactual_score,avg_contextual_score,avg_perplexity,n_train_samples
0,4.959577369689942,0.56,0.0225,0.84359513504034,0.8431242033553423,2.6151590744394517,400
1,5.433934020996093,0.6275,0.035,0.9473739630585097,0.944716525222288,1.397796021312803,400
2,6.393416368961335,0.6,0.035,0.9647748349683617,0.9578958506463056,1.2914554074606692,400
3,6.6946064144372945,0.6475,0.035,0.9674200631891998,0.9581668108050515,1.2892623941023795,400
4,6.690845906734467,0.74,0.675,0.9681650056801442,0.9571008243070943,1.296336850844252,400
5,7.579846125841143,0.5625,0.0325,0.9536725729428827,0.9345874901975588,1.4943611001584611,400
6,7.344884872436525,0.7375,0.035,0.9618997818305514,0.943547307948388,1.408249065631818,400
7,7.470457315444946,0.6875,0.035,0.9616869574701817,0.943587915282705,1.409282189086728,400
8,7.725657200813294,0.6375,0.05,0.9547420446347155,0.9330537628594564,1.4809642046151317,400
9,7.8611988782882705,0.635,0.14,0.9643188894299348,0.9468145545987231,1.3686044282951155,400
10,7.954768013954161,0.65,0.1825,0.9583331522435324,0.9354560790453104,1.4615886346538434,400
11,8.16714198589325,0.63,0.2125,0.9640884443827095,0.9434291131732694,1.3996887847269934,400
12,8.218357157707214,0.63,0.215,0.9603521227557782,0.9370293563665562,1.4526655694518682,400
13,8.306001043319702,0.64,0.39,0.963992441056615,0.9411894999973538,1.4173107361104265,400
14,8.418302083015442,0.6175,0.41,0.9630724952736691,0.9395259973221516,1.4317972418456963,400
15,8.442629301548005,0.6225,0.34,0.9636385089496139,0.9396985154079489,1.4306320069578842,400
16,8.691185712814331,0.59,0.3675,0.9620326026875713,0.9368423412328036,1.4542358861000606,400
17,8.689651381969451,0.6,0.3525,0.9622541848761054,0.9368164682815557,1.4551495199760693,400
18,8.556016159057622,0.635,0.365,0.9616536187085188,0.9356532089059928,1.46426391696162,400
19,8.543308353424074,0.63,0.37,0.9611273298550693,0.9347351761848559,1.4725264655704133,400
